City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jacobina,BR,76.75,few clouds,-11.1806,-40.5183,Hostel portal do sol
1,Tocopilla,CL,62.91,few clouds,-22.092,-70.1979,Hotel Galvarino
3,Jamestown,US,64.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Richards Bay,ZA,70.43,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
8,Big Rapids,US,68.07,clear sky,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
9,Vierzon,FR,60.35,clear sky,47.2101,2.0625,Arche Hôtel
12,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Port Elizabeth,ZA,60.31,scattered clouds,-33.918,25.5701,39 On Nile Guest House
23,Maldonado,UY,62.22,broken clouds,-34.6667,-54.9167,La Cimarrona
24,Nouadhibou,MR,89.58,scattered clouds,20.931,-17.0347,El Medina
25,Gambela,ET,70.34,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
26,Deep River,CA,69.94,broken clouds,46.1001,-77.4995,Deep River Motel
27,Tapes,BR,62.44,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
28,Ribeira Grande,PT,71.1,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
31,Puri,IN,79.32,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
34,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
35,Ambilobe,MG,66.15,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
36,Cape Town,ZA,60.39,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Abnub,EG,77.22,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
38,Namibe,AO,63.82,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
39,Kolokani,ML,73.0,few clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
41,Shahr-E Babak,IR,63.59,clear sky,30.1165,55.1186,سلاطین مس و نقره
42,Port Blair,IN,79.7,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
43,Mwinilunga,ZM,66.79,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
46,Luba,GQ,76.89,light rain,3.4568,8.5547,
47,Tipacoque,CO,62.78,overcast clouds,6.4203,-72.6918,Hacienda Tipacoque
48,Arraial Do Cabo,BR,69.6,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
49,Kibala,TD,73.38,overcast clouds,9.1104,18.3463,Prasant Hotels
50,Cidreira,BR,63.45,broken clouds,-30.1811,-50.2056,Hotel Castelo
51,Sao Filipe,CV,79.25,scattered clouds,14.8961,-24.4956,Hotel Xaguate
53,Ponta Delgada,PT,72.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
54,Bandarbeyla,SO,77.25,broken clouds,9.4942,50.8122,JABIR HOTEL
55,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
56,Visconde Do Rio Branco,BR,73.81,clear sky,-21.0103,-42.8406,Rio Branco palace hotel
57,Puerto Leguizamo,CO,82.76,light rain,-0.1934,-74.7819,la casona de juancho
58,Masvingo,ZW,71.04,clear sky,-20.0637,30.8277,River Side Lodge
60,Sayan,PE,68.49,clear sky,-11.1361,-77.1933,Hotel Restaurant Vanessa
