City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jacobina,BR,-11.1806,-40.5183,76.75,36,12,5.86,few clouds
1,Tocopilla,CL,-22.092,-70.1979,62.91,66,15,14.03,few clouds
2,Tasiilaq,GL,65.6145,-37.6368,32.16,54,71,5.57,broken clouds
3,Jamestown,US,42.097,-79.2353,64.04,59,0,5.75,clear sky
4,Ushuaia,AR,-54.8,-68.3,49.66,50,40,9.22,scattered clouds
5,Vagur,FO,61.4732,-6.8119,49.14,80,33,35.7,scattered clouds
6,Richards Bay,ZA,-28.783,32.0377,70.43,92,49,8.23,scattered clouds
7,Busselton,AU,-33.65,115.3333,52.2,62,10,7.99,clear sky
8,Big Rapids,US,43.6981,-85.4837,68.07,42,0,3.44,clear sky
9,Vierzon,FR,47.2101,2.0625,60.35,89,4,8.81,clear sky
10,Summerside,CA,46.3959,-63.7876,59.68,81,61,9.46,broken clouds
11,Henderson,US,36.0397,-114.9819,93.83,17,0,8.05,clear sky
12,Mahebourg,MU,-20.4081,57.7,70.09,78,20,8.05,few clouds
13,Avallon,FR,47.4833,3.9,55.83,84,0,6.31,clear sky
14,Shihezi,CN,44.3,86.0333,50.63,37,0,1.28,clear sky
15,Chapais,CA,49.7834,-74.8492,56.98,95,98,7.9,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,59.18,93,97,3.0,overcast clouds
17,Lima,PE,-12.0432,-77.0282,59.25,77,100,14.97,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,60.31,88,40,9.22,scattered clouds
19,Talnakh,RU,69.4865,88.3972,24.91,95,94,2.19,overcast clouds
20,Kaltasy,RU,55.9693,54.8032,43.92,90,100,11.25,light rain
21,Hofn,IS,64.2539,-15.2082,42.75,59,5,12.06,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,50.11,53,75,10.36,broken clouds
23,Maldonado,UY,-34.6667,-54.9167,62.22,78,59,10.85,broken clouds
24,Nouadhibou,MR,20.931,-17.0347,89.58,31,35,19.57,scattered clouds
25,Gambela,ET,8.25,34.5833,70.34,90,100,2.33,overcast clouds
26,Deep River,CA,46.1001,-77.4995,69.94,83,84,4.03,broken clouds
27,Tapes,BR,-30.6733,-51.3958,62.44,80,96,16.8,overcast clouds
28,Ribeira Grande,PT,38.5167,-28.7,71.1,80,98,5.21,overcast clouds
29,Khatanga,RU,71.9667,102.5,2.08,100,88,1.99,overcast clouds
30,Yumen,CN,40.2833,97.2,39.83,57,4,3.38,clear sky
31,Puri,IN,19.8,85.85,79.32,81,67,11.7,broken clouds
32,Nuuk,GL,64.1835,-51.7216,36.21,93,75,3.44,broken clouds
33,Avesta,SE,60.1455,16.1679,58.12,91,100,15.19,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,44,10.56,scattered clouds
35,Ambilobe,MG,-13.2,49.05,66.15,79,2,3.36,clear sky
36,Cape Town,ZA,-33.9258,18.4232,60.39,70,0,3.44,clear sky
37,Abnub,EG,27.2696,31.1511,77.22,39,0,8.68,clear sky
38,Namibe,AO,-15.1961,12.1522,63.82,87,56,4.79,broken clouds
39,Kolokani,ML,13.5728,-8.0339,73.0,77,23,5.79,few clouds
40,Clyde River,CA,70.4692,-68.5914,25.03,74,100,18.41,light snow
41,Shahr-E Babak,IR,30.1165,55.1186,63.59,21,0,9.62,clear sky
42,Port Blair,IN,11.6667,92.75,79.7,83,97,9.75,overcast clouds
43,Mwinilunga,ZM,-11.7358,24.4293,66.79,28,35,3.33,scattered clouds
44,Marienburg,PL,54.0359,19.0266,53.89,78,48,11.27,scattered clouds
45,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,71,75,31.07,moderate rain
46,Luba,GQ,3.4568,8.5547,76.89,87,68,5.48,light rain
47,Tipacoque,CO,6.4203,-72.6918,62.78,93,88,0.83,overcast clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,69.6,85,58,13.2,broken clouds
49,Kibala,TD,9.1104,18.3463,73.38,92,100,1.41,overcast clouds
50,Cidreira,BR,-30.1811,-50.2056,63.45,79,74,20.56,broken clouds
